league,champion,picked_count,games_count,pick_percent,ban_count,ban_percent,pick_or_ban,pick_ban_pct,pick_rate,ban_rate,win_count,win_percent
CBLOL,Aatrox,9.0,112.0,0.08035714285714286,17.0,0.15178571428571427,26.0,0.23214285714285715,8.035714285714286,15.178571428571427,6,0.6666666666666666
CBLOL,Ahri,2.0,112.0,0.017857142857142856,0.0,0.0,2.0,0.017857142857142856,1.7857142857142856,0.0,1,0.5
CBLOL,Akali,2.0,112.0,0.017857142857142856,20.0,0.17857142857142858,22.0,0.19642857142857142,1.7857142857142856,17.857142857142858,1,0.5
CBLOL,Alistar,44.0,112.0,0.39285714285714285,24.0,0.21428571428571427,68.0,0.6071428571428571,39.285714285714285,21.428571428571427,26,0.5909090909090909
CBLOL,Anivia,1.0,112.0,0.008928571428571428,0.0,0.0,1.0,0.008928571428571428,0.8928571428571428,0.0,1,1.0
CBLOL,Aphelios,34.0,112.0,0.30357142857142855,27.0,0.24107142857142858,61.0,0.5446428571428571,30.357142857142854,24.107142857142858,20,0.5882352941176471
CBLOL,Ashe,1.0,112.0,0.008928571428571428,0.0,0.0,1.0,0.008928571428571428,0.8928571428571428,0.0,0,0.0
CBLOL,Azir,28.0,112.0,0.25,28.0,0.25,56.0,0.5,25.0,25.0,14,0.5
CBLOL,Bard,1.0,112.0,0.008928571428571428,0.0,0.0,1.0,0.008928571428571428,0.8928571428571428,0.0,0,0.0
CBLOL,Blitzcrank,1.0,112.0,0.008928571428571428,0.0,0.0,1.0,0.008928571428571428,0.8928571428571428,0.0,0,0.0
CBLOL,Braum,5.0,112.0,0.044642857142857144,4.0,0.03571428571428571,9.0,0.08035714285714286,4.464285714285714,3.571428571428571,3,0.6
CBLOL,Caitlyn,4.0,112.0,0.03571428571428571,1.0,0.008928571428571428,5.0,0.044642857142857144,3.571428571428571,0.8928571428571428,1,0.25
CBLOL,Camille,20.0,112.0,0.17857142857142858,70.0,0.625,90.0,0.8035714285714286,17.857142857142858,62.5,17,0.85
CBLOL,Cho'Gath,2.0,112.0,0.017857142857142856,1.0,0.008928571428571428,3.0,0.026785714285714284,1.7857142857142856,0.8928571428571428,1,0.5
CBLOL,Corki,1.0,112.0,0.008928571428571428,0.0,0.0,1.0,0.008928571428571428,0.8928571428571428,0.0,0,0.0
CBLOL,Dr. Mundo,6.0,112.0,0.05357142857142857,2.0,0.017857142857142856,8.0,0.07142857142857142,5.357142857142857,1.7857142857142856,4,0.6666666666666666
CBLOL,Draven,4.0,112.0,0.03571428571428571,2.0,0.017857142857142856,6.0,0.05357142857142857,3.571428571428571,1.7857142857142856,4,1.0
CBLOL,Ekko,1.0,112.0,0.008928571428571428,4.0,0.03571428571428571,5.0,0.044642857142857144,0.8928571428571428,3.571428571428571,1,1.0
CBLOL,Elise,2.0,112.0,0.017857142857142856,2.0,0.017857142857142856,4.0,0.03571428571428571,1.7857142857142856,1.7857142857142856,1,0.5
CBLOL,Ezreal,6.0,112.0,0.05357142857142857,9.0,0.08035714285714286,15.0,0.13392857142857142,5.357142857142857,8.035714285714286,2,0.3333333333333333
CBLOL,Fiora,3.0,112.0,0.026785714285714284,0.0,0.0,3.0,0.026785714285714284,2.6785714285714284,0.0,1,0.3333333333333333
CBLOL,Galio,21.0,112.0,0.1875,27.0,0.24107142857142858,48.0,0.42857142857142855,18.75,24.107142857142858,13,0.6190476190476191
CBLOL,Gangplank,9.0,112.0,0.08035714285714286,5.0,0.044642857142857144,14.0,0.125,8.035714285714286,4.464285714285714,1,0.1111111111111111
CBLOL,Gnar,38.0,112.0,0.3392857142857143,30.0,0.26785714285714285,68.0,0.6071428571428571,33.92857142857143,26.785714285714285,26,0.6842105263157895
CBLOL,Gragas,29.0,112.0,0.25892857142857145,13.0,0.11607142857142858,42.0,0.375,25.892857142857146,11.607142857142858,9,0.3103448275862069
CBLOL,Graves,30.0,112.0,0.26785714285714285,10.0,0.08928571428571429,40.0,0.35714285714285715,26.785714285714285,8.928571428571429,14,0.4666666666666667
CBLOL,Hecarim,29.0,112.0,0.25892857142857145,23.0,0.20535714285714285,52.0,0.4642857142857143,25.892857142857146,20.535714285714285,17,0.5862068965517241
CBLOL,Irelia,9.0,112.0,0.08035714285714286,31.0,0.2767857142857143,40.0,0.35714285714285715,8.035714285714286,27.67857142857143,5,0.5555555555555556
CBLOL,Ivern,1.0,112.0,0.008928571428571428,1.0,0.008928571428571428,2.0,0.017857142857142856,0.8928571428571428,0.8928571428571428,1,1.0
CBLOL,Janna,1.0,112.0,0.008928571428571428,1.0,0.008928571428571428,2.0,0.017857142857142856,0.8928571428571428,0.8928571428571428,1,1.0
CBLOL,Jarvan IV,3.0,112.0,0.026785714285714284,1.0,0.008928571428571428,4.0,0.03571428571428571,2.6785714285714284,0.8928571428571428,1,0.3333333333333333
CBLOL,Jax,1.0,112.0,0.008928571428571428,0.0,0.0,1.0,0.008928571428571428,0.8928571428571428,0.0,1,1.0
CBLOL,Jayce,14.0,112.0,0.125,32.0,0.2857142857142857,46.0,0.4107142857142857,12.5,28.57142857142857,5,0.35714285714285715
CBLOL,Jhin,25.0,112.0,0.22321428571428573,9.0,0.08035714285714286,34.0,0.30357142857142855,22.321428571428573,8.035714285714286,13,0.52
CBLOL,Jinx,17.0,112.0,0.15178571428571427,1.0,0.008928571428571428,18.0,0.16071428571428573,15.178571428571427,0.8928571428571428,10,0.5882352941176471
