id,mapAddress,name,License Type,Last Inspection Date,License Number
MjU1NDM0,1096 PARK AVENUE CRANSTON RI 02910,MINH HAI RESTAURANT,Seats -  Less than 50,06-07-2018,FSV24692
MjQzMTM1,1500 DIAMOND HILL ROAD WOONSOCKET RI 02895,TACO BELL,Seats - 50 or More,06-06-2018,FSV18852
MjQ5NTUx,666 MAIN STREET COVENTRY RI 02816,HARRIS BAR & GRILLE,Seats - 50 or More,06-06-2018,FSV20798
MjUxNTc1,100 HILLSIDE AVENUE CRANSTON RI 02920,NEWPORT CREAMERY STORE 3,Seats - 50 or More,06-06-2018,FSV21666
MjUyODA4,9 JP MURPHY AVENUE WEST WARWICK RI 02893,COX COMMUNICATION NEW ENGLAND,Seats - 50 or More,06-06-2018,FSV22483
MjUzNTE5,300 ATWOOD AVENUE CRANSTON RI 02920,HONEY DEW DONUTS,Seats -  Less than 50,06-06-2018,FSV22777
MjU3NTU2,1666 DIAMOND HILL ROAD WOONSOCKET RI 02895,WALNUT HILL BOWL,Seats - 50 or More,06-06-2018,FSV25774
MjU4MTA1,852 PARK AVENUE WOONSOCKET RI 02895,GULF EXPRESS,Cash Registers - 1-2,06-06-2018,MRK07436
MjYwMDQ2,600 NEW LONDON AVENUE CRANSTON RI 02920,COFFEE PLUS NO 66,Food Service (Non-Profit),06-06-2018,FSV27946
MjYxNDU3,1047 SOCIAL STREET WOONSOCKET RI 02895,TESORO MARKET,Cash Registers - 1-2,06-06-2018,MRK07987
MjQ1MTE0,187 WATER STREET WARREN RI 02885,JACK'S BAR INC,Seats -  Less than 50,05-31-2018,FSV03918
MjQ1MTQw,95 TUPELO STREET BRISTOL RI 02809,BRISTOL GOLF CLUB,Seats - 50 or More,05-31-2018,FSV03982
MjQ1MTU5,150 NAYATT ROAD BARRINGTON RI 02806,RHODE ISLAND COUNTRY CLUB,Seats - 50 or More,05-31-2018,FSV04027
MjQ1MjUz,164 OCEAN AVENUE NEWPORT RI 02840,HAZARDS BEACH INC,Seats -  Less than 50,05-31-2018,FSV05109
MjQ1OTk5,900 CRANSTON STREET CRANSTON RI 02906,DUNKIN DONUTS,Seats -  Less than 50,05-31-2018,FSV09828
MzU4OTk2,311 TAUNTON AVE EAST PROVIDENCE RI 02914,TOWN PUB,Seats -  Less than 50,05-02-2018,FSV30547
NjExOTM5,287 PAWTUCKET AVE PAWTUCKET RI 02860,LANNA THAI AND SPEEDERIA PIE,Seats -  Less than 50,05-02-2018,FSV32211
NjYyNjg3,2192 BROAD ST CRANSTON RI 02910,PTX LOUNGE,Seats -  Less than 50,05-02-2018,FSV32728
NjYyODQ4,101 CADILLAC DR PROVIDENCE RI 02907,GOOD FORTUNE RESTAURANT,Seats - 50 or More,05-02-2018,FSV32713
NjYyODYx,873 CRANSTON ST CRANSTON RI 02920,OM FOODS AND FUEL,Cash Registers - 1-2,05-02-2018,MRK09207
MjYwNjk5,283 PARK AVENUE CRANSTON RI 02920,DUNKIN DONUTS,Seats -  Less than 50,04-26-2017,FSV27214
MjYxNTAx,1625 WARWICK AVENUE WARWICK RI 02889,TRINITY CONFECTIONS,Food Processor Retail - In-State,04-26-2017,FPR03243
MjYyNTcz,24 MIDWAY RD CRANSTON RI 02920,APPLEBEE'S NEIGHBORHOOD GRILL AND BAR,Seats - 50 or More,04-26-2017,FSV28319
MjY0MzU4,41 DEXTER RD EAST PROVIDENCE RI 02914,THE ILLUMINATED OVEN,Food Processor Retail - In-State,04-26-2017,FPR03528
MjY0Mzg5,LINCOLN MALL LINCOLN RI 02865,THE MAXX FITNESS CENTER,Seats -  Less than 50,04-26-2017,FSV30408
NDE1MzM0,400 BALD HILL RD WARWICK RI 02886,JOHNNY ROCKETS,Seats -  Less than 50,04-26-2017,FSV31979
NDE1NDcw,850 BROAD ST CENTRAL FALLS RI 02863,LUPITAS FOOD MARKET LLC,Cash Registers - 1-2,04-26-2017,MRK08988
NjExNjA2,1700 MENDON RD CUMBERLAND RI 02864,DUNKIN DONUTS,Seats -  Less than 50,04-26-2017,FSV32031
MjM4OTY0,287 VEAZIE STREET PROVIDENCE RI 02904,AMERICAN LEGION POST NO 56,Seats -  Less than 50,04-25-2017,FSV00151
MjM5MDY2,475 SMITH STREET PROVIDENCE RI 02908,AMERICAN LITHUANIAN CLUB,Food Service (Non-Profit),04-25-2017,FSV00603
MjQ0Mzcw,1799 WARWICK AVENUE WARWICK RI 02889,ST TIMOTHY CHURCH,Food Service (Non-Profit),04-25-2017,FSV20039
MjQ1MTQy,101 POPPASQUASH ROAD BRISTOL RI 02809,BRISTOL YACHT CLUB,Seats -  Less than 50,04-25-2017,FSV03985
MjQ5OTc1,793 HARRIS AVENUE WOONSOCKET RI 02895,GEORGE'S BREAKFAST & LUNCH,Seats -  Less than 50,04-25-2017,FSV20520
MjYxNTM2,156 GANSETT AVENUE CRANSTON RI 02910,MISSION NUTRITION LLC,Seats -  Less than 50,04-25-2017,FSV27788
MjYyMDUw,255 LAMBERT LIND HIGHWAY WARWICK RI 02886,FAT BELLYS PUB,Seats - 50 or More,04-25-2017,FSV28292
MjYzMDY5,20 HILLSIDE ROAD CRANSTON RI 02920,EDIBLE ARRANGEMENTS,Food Processor Retail - In-State,04-25-2017,FPR03375
MjYzMTkx,253 POST RD WESTERLY RI 02891,SUNNYSIDE UP,Seats -  Less than 50,04-25-2017,FSV29842
MjY0NTU3,2656 HARTFORD AVE JOHNSTON RI 02919,SUBWAY,Seats -  Less than 50,04-25-2017,FSV29426
MjY0ODUz,SUITE 108 CRANSTON RI 02920,1800 FLOWERS HEAVENLY,Food Processor Retail - In-State,04-25-2017,FPR04275
NDE0NDAw,55 PURGATORY RD MIDDLETOWN RI 02842,NEWPORT BEACH HOUSE,Seats - 50 or More,04-25-2017,FSV31307
NDE1MjE5,2862 HARTFORD AVE JOHNSTON RI 02919,ROAD RUNNERS FOOD MART INC,Cash Registers - 1-2,04-25-2017,MRK08940
NDE1MjU4,204 GARDEN ST PAWTUCKET RI 02860,PLANTING A SEED MINISTRIES,Food Service (Non-Profit),04-25-2017,FSV31837
NjExNjE2,2053 SMITH ST NORTH PROVIDENCE RI 02911,CLERICI OSTERIA,Seats -  Less than 50,04-25-2017,FSV32046
MjM5MDc2,225 ELMWOOD AVENUE PROVIDENCE RI 02907,ELMWOOD HEALTH CENTER,Seats -  Less than 50,04-24-2017,FSV00650
MjQwOTYz,65 CHILD STREET WARREN RI 02885,DELS LEMONADE OF WARREN,Seats -  Less than 50,04-24-2017,FSV16588
MjQ0OTk3,1 BANNISTERS WHARF NEWPORT RI 02840,BLACK PEARL,Seats - 50 or More,04-24-2017,FSV03585
MjUxNzE4,2025 POST ROAD WARWICK RI 02886,SHELL FOOD MART,Cash Registers - 1-2,04-24-2017,MRK06520
MjUzNjQy,1006 PUTNAM PIKE GLOCESTER RI 02814,DUNKIN DONUTS,Seats -  Less than 50,04-24-2017,FSV23397
MjU2MjE1,23 PECK LANE WARWICK RI 02888,OROURKES BAR AND GRILL,Seats -  Less than 50,04-24-2017,FSV24497
MjU3ODE3,3 WAKE ROBIN ROAD LINCOLN RI 02865,TRATTORIA ROMANA,Seats - 50 or More,04-24-2017,FSV25662
MjU5ODM0,2168 PUTNAM PIKE  GLOCESTER RI 02814,CADYS TAVERN,Seats -  Less than 50,04-24-2017,FSV26665
MjYwNjk2,1288 OAKLAWN AVENUE CRANSTON RI 02920,DUNKIN DONUTS,Seats -  Less than 50,04-24-2017,FSV27212
MjYyOTgy,80 FRENCHTOWN RD NORTH KINGSTOWN RI 02852,WENDYS,Seats - 50 or More,04-24-2017,FSV28555
MjY1MzU1,1163 PUTNAM PIKE CHEPACHET RI 02814,PUTNAM PIKE SUNOCO,Cash Registers - 1-2,04-24-2017,MRK08515
MjY1Mzk4,417 PUTNAM PIKE CHEPACHET RI 02814,STICKS TAVERN,Seats -  Less than 50,04-24-2017,FSV29908
MzU4NjE1,80 RICHMOND TOWNHOUSE RD CAROLINA RI 02812,NEW HOPE PANTRY,Food Service (Non-Profit),04-24-2017,FSV31141
NDE0MTQy,305 PHENIX AVE CRANSTON RI 029204350,SPEEDWAY NO 02820,Cash Registers - 1-2,04-24-2017,MRK08905
NDE1Mjc3,550 PONTIAC AVE CRANSTON RI 02910,DAVES FRESH MARKETPLACE OF CRANSTON INC,Cash Registers - 6 or more ,04-24-2017,MRK09005
NDE1Mjgw,3009 TOWER HILL RD SAUNDERSTOWN RI 028741504,HOLIDAY INN SOUTH KINGSTOWN RESTAURANT,Seats - 50 or More,04-24-2017,FSV31980
NjExNTc5,550 PONTIAC AVE CRANSTON RI 02910,AFC SUSHI AT DAVES MARKETPLACE NO 008,Food Processor Retail - In-State,04-24-2017,FPR04781
NjExNjQy,35 MORLEY STREET CHARLESTOWN RI 02813,THE DOG POUND,Mobile Food Service,04-24-2017,FSV32057
MjQ1MjE4,15 FENNER AVENUE NEWPORT RI 02840,PORTUGUESE AMER VASCO DAGAMA HOLY GHOST SOC,Seats -  Less than 50,04-21-2017,FSV04193
MzU4NzQx,169 MAIN ST WESTERLY RI 02891,AMANDAS PANTRY,Seats - 50 or More,04-21-2017,FSV30438
MjM5NzYw,1703 CRANSTON STREET CRANSTON RI 02920,L'OSTERIA,Seats -  Less than 50,04-20-2017,FSV14576
MjQ0NTgy,1336 CRANSTON STREET CRANSTON RI 02920,MCSHAWNS PUB INC,Seats -  Less than 50,04-20-2017,FSV02275
MjQ1NTE4,1619 WARWICK AVENUE WARWICK RI 02889,T MOUSIES DELI,Seats -  Less than 50,04-20-2017,FSV06880
MjQ3NDY2,1010 PARK AVENUE CRANSTON RI 02910,WALGREENS NO 02850,Cash Registers - 6 or more ,04-20-2017,MRK05197
MjUxNDQ4,1678 BROAD STREET CRANSTON RI 02905,J. P. SPOONEMS,Seats -  Less than 50,04-20-2017,FSV22343
MjUyNDAw,305 QUAKER LANE WEST WARWICK RI 02893,KENTUCKY FRIED CHICKEN,Seats - 50 or More,04-20-2017,FSV22000
MjU3MzM2,1195 OAKLAWN AVENUE CRANSTON RI 02920,CVS PHARMACY NO 1414,Cash Registers - 3-5 ,04-20-2017,MRK07323
MjM4NzAx,1251 CHALKSTONE AVENUE PROVIDENCE RI 02908,DELUISE BAKERY,Food Processor Retail - In-State,05-01-2018,FPR00708
MjQ1MTY4,267 WATER STREET WARREN RI 02885,TAV VINO INC,Seats - 50 or More,05-01-2018,FSV04041
MjQ1MjU3,280 HARRISON AVENUE NEWPORT RI 02840,NEWPORT COUNTRY CLUB,Seats -  Less than 50,05-01-2018,FSV05121
MjQ1MzAz,220 WEYBOSSET STREET PROVIDENCE RI 02903,PROVIDENCE PERFORMING ARTS CENTER,Seats -  Less than 50,05-01-2018,FSV05501
MjUwODgx,265 SHORE ROAD WESTERLY RI 02891,WEEKAPAUG GOLF CLUB,Caterer or Commissary,05-01-2018,FSV21094
MjU4OTE5,353 ELMWOOD AVENUE PROVIDENCE RI 02907,PROVIDENCE ASSEMBLY OF GOD,Food Service (Non-Profit),04-20-2017,FSV26100
MjU5MDc3,18 LUONGO MEMORIAL SQUARE PROVIDENCE RI 02903,AVERY BAR AND LOUNGE,Seats -  Less than 50,04-20-2017,FSV26187
MjYwMzA2,230 COUNTY ROAD BARRINGTON RI 02806,THE DAILY SCOOP,Seats -  Less than 50,04-20-2017,FSV26999
MjYxMDkx,594 RESERVOR AVENUE CRANSTON RI 02910,PUB 594,Seats -  Less than 50,04-20-2017,FSV27564
MzU4ODk3,925 BROAD ST PROVIDENCE RI 02907,LA BROA PIZZA,Seats -  Less than 50,04-20-2017,FSV30796
NDEzNzk5,64 POTTERSVILLE RD LITTLE COMPTON RI 02837,SILK TREE FARM,Cash Registers - 1-2,04-20-2017,MRK08736
NDE0MTU0,8 INDUSTRIAL DR WESTERLY RI 02891,SIMPLY DELICIOUS,Seats -  Less than 50,04-20-2017,FSV31976
NjExNjAw,252 NARRAGANSETT AVENUE JAMESTOWN RI 02835,TALLULAHS SHACK,Seats -  Less than 50,04-20-2017,FSV32066
MjQ4Njkz,66 MARKET STREET WARREN RI 02885,CUMBERLAND FARMS NO 1209,Cash Registers - 1-2,04-19-2017,MRK03784
MjU0MjQy,46 CARPENTER STREET CUMBERLAND RI 02864,MICKEYS VALLEY VIEW PUB,Seats - 50 or More,04-19-2017,FSV24158
MjYzNDY3,1207 PONTIAC AVE CRANSTON RI 02920,SHELL,Food Processor Retail - In-State,04-19-2017,FPR03384
MjY0MjQw,SUITE B 4 SMITHFIELD RI 02917,SIENA RESTAURANT,Seats - 50 or More,04-19-2017,FSV29527
MjY1MTgz,10 NATE WHIPPLE HWY BUSH ANNEX CUMBERLAND RI 02864,THE NORTHERN RHODE ISLAND FOOD PANTRY,Market (Non-Profit),04-19-2017,MRK08458
MjM3NTgz,472 CRANSTON STREET PROVIDENCE RI 02907,DARI KING,Frozen Dessert Retail,04-18-2017,DAR00088
MjQ2NDc3,DEPT OF ADMINISTRATION PROVIDENCE RI 02908,COFFEE PLUS VF NO 63,Food Service (Non-Profit),04-18-2017,FSV12332
MjQ3MDY0,1780 EAST MAIN ROAD PORTSMOUTH RI 02871,DECASTRO AND SONS FARM,Cash Registers - 1-2,04-18-2017,MRK00279
MjQ3MTgw,1020 PUTNAM PIKE GLOCESTER RI 028140311,DINOS PARK & SHOP,Cash Registers - 6 or more ,04-18-2017,MRK04648
MjUyNTgx,2456 WARWICK AVENUE WARWICK RI 02889,DUNKIN DONUTS,Seats -  Less than 50,04-18-2017,FSV23929
MjUzMjUx,1700 MENDON ROAD CUMBERLAND RI 02864,RONZIO PIZZA,Seats -  Less than 50,04-18-2017,FSV22585
MjU0Njk5,265 STAFFORD ROAD TIVERTON RI 02878,SAINT THERESA CHURCH,Food Service (Non-Profit),04-18-2017,FSV24779
MjU0OTQ1,8 CHAPEL VIEW BLVD CRANSTON RI 02910,SHAWS SUPERMARKET NO 181/7625,Cash Registers - 6 or more ,04-18-2017,MRK07067
MjU1NTcw,2987 WEST SHORE ROAD WARWICK RI 02886,PAPA'S ICE CREAM LLC,Seats -  Less than 50,04-18-2017,FSV24060
MjYyMjk5,1580 MAIN ROAD TIVERTON RI 02878,SAINT CHRISTOPHERS CHURCH OF TIVERTON,Food Service (Non-Profit),04-18-2017,FSV28287
MjY1MzUw,SANDYWOODS FARM TIVERTON RI 02878,MONTVILLE CANDY,Food Processor Retail - In-State,04-18-2017,FPR03749
NDEzNDg1,960 MENDON RD CUMBERLAND RI 02864,END ZONE SPORTS PUB,Seats -  Less than 50,04-18-2017,FSV30766
NDEzNjMy,NO 5A WARWICK RI 02886,EDIBLE ARRANGEMENTS,Food Processor Retail - In-State,04-18-2017,FPR04392
NDEzOTAw,8 CHAPEL VIEW BLVD CRANSTON RI 02920,BENTO SUSHI,Food Processor Retail - In-State,04-18-2017,FPR04649
NDEzOTc0,100 HIGGINSON AVE LINCOLN RI 02865,BATTLEGROUNDZ,Seats - 50 or More,04-18-2017,FSV31946
NDE0NTE4,162 GRANITE ST WESTERLY RI 02891,PROVIDENCE COAL FIRE PIZZA,Seats - 50 or More,04-18-2017,FSV31951
NDE0NjI2,227 POST RD WESTERLY RI 02891,SHORE DINNER HALL,Seats -  Less than 50,04-18-2017,FSV31988
MjM5ODQ0,767 AIRPORT ROAD WARWICK RI 02886,KENTUCKY FRIED CHICKEN,Seats -  Less than 50,04-17-2017,FSV01473
MjM5OTgy,103 BEACON AVENUE PROVIDENCE RI 02903,BEACON AVENUE CHURCH OF GOD,Food Service (Non-Profit),04-17-2017,FSV15034
MjUxODI2,44 AIRPORT ROAD WARWICK RI 02889,SUBWAY,Seats -  Less than 50,04-17-2017,FSV22105
MjUzNDg2,221 MAIN STREET WARREN RI 02885,ST ALEXANDER'S CHURCH,Food Service (Non-Profit),04-17-2017,FSV22745
MjU1MTAx,ROUTE 6 FOSTER RI 02825,FOSTER XTRA MART,Cash Registers - 1-2,04-17-2017,MRK07015
MjYxNzQy,601 METACOM AVENUE WARREN RI 028852829,FAMILY DOLLAR STORES OF RI NO 8425,Cash Registers - 1-2,04-17-2017,MRK07973
MjYxODE2,174 HARTFORD PIKE FOSTER RI 02825,DR DAY CARE FOSTER,Seats - 50 or More,04-17-2017,FSV28365
MjYyMDAx,1350 GREENWICH AVENUE WARWICK RI 02886,JERSEY MIKES SUBS,Seats -  Less than 50,04-17-2017,FSV28047
MjM4ODgw,59 TOM HARVEY ROAD WESTERLY RI 02891,HAUSER FOODS INC,Food Processor Wholesale - In-State,04-14-2017,FPR01629
MjU2MzQy,2138 POST ROAD WARWICK RI 02886,BEST WESTERN PROVIDENCE AIRPORT HOTEL,Seats -  Less than 50,04-14-2017,FSV25706
MjU3NTA3,235-237 MANTON AVENUE PROVIDENCE RI 02909,EL VALLE RESTAURANT,Seats -  Less than 50,04-14-2017,FSV25327
MjYwOTMy,7 CRAY STREET CUMBERLAND RI 02864,7 CRAY ST REALTY CORP LLC,Food Service (Non-Profit),04-14-2017,FSV27373
MjY1ODQ4,60 HARBORSIDE BLVD CRANSTON RI 02905,WILDCAT CONCESSIONS,Food Service (Non-Profit),04-14-2017,FSV30069
NDE1NDc1,1840 VICTORY HWY COVENTRY RI 02816,THE ROADSIDE SHACK LLC,Mobile Food Service,04-14-2017,FSV32018
MjQyMDg0,1288 GREENWICH AVENUE WARWICK RI 02886,YE OLDE BOULEVARD CAFE,Seats -  Less than 50,04-13-2017,FSV17840
MjQyOTcy,271 PLAINFIELD STREET PROVIDENCE RI 02909,EL CHAPIN RESTAURANT NO 2,Seats -  Less than 50,04-13-2017,FSV18702
MjUwNjk2,2225 POST ROAD WARWICK RI 02886,CHELOS OF WARWICK,Caterer or Commissary,04-13-2017,FSV21135
MjUzODY1,741 OAKLAWN AVENUE CRANSTON RI 02920,MOON HOUSE CHINESE RESTAURANT,Seats -  Less than 50,04-13-2017,FSV23174
MzU4MzUx,15 PHENIX AVE CRANSTON RI 02910,ST MARYS FEAST SOCIETY,Food Service (Non-Profit),04-13-2017,FSV30292
NDEzNDgx,1791 CRANSTON ST CRANSTON RI 02920,CRANSTON HOUSE OF PIZZA,Seats - 50 or More,04-13-2017,FSV31312
MjU0MjYz,467 HOPE STREET BRISTOL RI 02809,DUNKIN DONUTS,Seats -  Less than 50,05-01-2018,FSV23586
MjU2MjE3,622 GEORGE WASHINGTON HIGHWAY LINCOLN RI 02865,CINEMAWORLD THEATRES,Seats - 50 or More,05-01-2018,FSV24747
MjU3OTQy,300 THAYER STREET PROVIDENCE RI 02906,BLUE STATE COFFEE,Seats -  Less than 50,05-01-2018,FSV25665
MjU4NTIz,WESTERLY CROSSINGS WESTERLY RI 02891,NINETY-NINE RESTAURANT,Seats - 50 or More,05-01-2018,FSV26161
MjYxMDA1,594 HARTFORD AVENUE PROVIDENCE RI 02909,NUTRICION VERDE,Seats -  Less than 50,05-01-2018,FSV27454
NDE0MjE2,1331 WARWICK AVE WARWICK RI 02888,CRUSTYS PIZZA,Seats -  Less than 50,04-13-2017,FSV31223
NDE1Mzc0,1057 CHOPMIST HILL RD NORTH SCITUATE RI 02857,FOUR SEASONS ASSISTED LIVING,Seats -  Less than 50,04-13-2017,FSV31924
NDE1NTQw,344 MAIN ST WAKEFIELD RI 02879,EL FUEGO MEXICAN GRILL,Seats -  Less than 50,04-13-2017,FSV32214
MjQ0NzY3,947 DIAMOND HILL WOONSOCKET RI 02895,ITALIAN WORKING MEN'S CLUB INC,Seats - 50 or More,04-12-2017,FSV02872
MjQ0OTQx,46 MADEIRA  AVENUE CENTRAL FALLS RI 02863,SPORT CLUB UNIAO MADEIRENSE,Seats - 50 or More,04-12-2017,FSV03381
MjU3Mjk4,172 PINE STREET PROVIDENCE RI 02903,CLUB ULTRA,Seats - 50 or More,04-12-2017,FSV25144
MjY0ODM0,1289 CRANSTON ST CRANSTON RI 02920,TABARK MARKET,Cash Registers - 1-2,04-12-2017,MRK08385
MjY0OTAx,2093 DIAMOND HILL RD CUMBERLAND RI 02864,CUMBERLAND SUNOCO,Cash Registers - 1-2,04-12-2017,MRK08607
MjY2MTYw,1325 DIAMOND HILL RD WOONSOCKET RI 02895,SEASONS CORNER MARKET SHELL,Food Processor Retail - In-State,04-12-2017,FPR04015
NDE1NTIx,888 CHARLES ST NORTH PROVIDENCE RI 02904,COPACABANA RESTAURANT,Seats - 50 or More,04-12-2017,FSV32037
MjQ3MjMw,1282 ELMWOOD AVENUE CRANSTON RI 02910,OCEAN STATE MOBILE MART,Cash Registers - 1-2,04-11-2017,MRK04789
MjUyODY5,945 BALD HILL ROAD WARWICK RI 02886,PRICE RITE OF WARWICK,Cash Registers - 6 or more ,04-11-2017,MRK06626
MjU0OTg0,300 PARK AVENUE CRANSTON RI 02920,SUBWAY,Seats -  Less than 50,04-11-2017,FSV24089
MjU4NjQw,1400 OAKLAWN AVENUE CRANSTON RI 02920,DOLLAR TREE NO 1599,Cash Registers - 3-5 ,04-11-2017,MRK07528
MjYzMjIx,171 PLEASANT VIEW AVE SMITHFIELD RI 02917,BROOKDALE SMITHFIELD,Seats - 50 or More,04-11-2017,FSV28677
NDE1NDAx,15 RAILROAD AVE WESTERLY RI 02891,THONG THAI RESTAURANT,Seats -  Less than 50,04-11-2017,FSV31978
MjQyNDUy,1251 WARWICK AVENUE WARWICK RI 02886,GOVERNOR FRANCIS INN,Seats - 50 or More,04-10-2017,FSV18202
MjQzOTI5,UNIT 16 NEWPORT RI 02840,LEMON CORNER II,Seats -  Less than 50,04-10-2017,FSV19609
MjQ4MTMz,1188 PONTIAC AVENUE CRANSTON RI 02920,CVS PHARMACY NO 0469,Cash Registers - 3-5 ,04-10-2017,MRK05917
MjQ4MTY3,290 BROAD STREET CUMBERLAND RI 02864,TONY'S CUMBERLAND MARKET INC,Cash Registers - 1-2,04-10-2017,MRK05952
MjU2MTk2,622 GEORGE WASHINGTON HWY LINCOLN RI 02865,STARBUCKS COFFEE NO 9925,Seats -  Less than 50,04-10-2017,FSV24695
MjU5MTA1,1 KENNY DRIVE CRANSTON RI 029204400,SWAROVSKI,Seats - 50 or More,04-10-2017,FSV26714
MjYxODI3,125 TOWER HILL ROAD NORTH KINGSTOWN RI 02852,AFC SUSHI AT DAVES MARKET PLACE NO 3,Food Processor Wholesale - In-State,04-10-2017,FPR03272
MzU4NjE2,LIGHTHOUSE COMMUNITY OUTREACH FOOD PANTRY CUMBERLAND RI 02864,LIGHTHOUSE COMMUNITY OUTREACH FOOD PANTRY,Market (Non-Profit),04-10-2017,MRK08577
MzU5MDEw,647 MAIN AVE WARWICK RI 02886,GIGIS PIZZERIA,Seats -  Less than 50,04-10-2017,FSV31171
NDE0NDYy,15 ELBOW ST PROVIDENCE RI 02903,MIRABAR,Seats -  Less than 50,04-10-2017,FSV31304
NDE1Mzg2,610 A ELMWOOD AVE PROVIDENCE RI 02907,DELUXE MARKET INC,Cash Registers - 1-2,04-10-2017,MRK08968
NDE1NTcw,657 PARK AVE PORTSMOUTH RI 02871,LOCALZ KITCHEN AND COCKTAILS,Seats - 50 or More,04-10-2017,FSV31997
MjYzNjIy,UNIT 12 WEST WARWICK RI 02893,TASTE OF CHINA,Seats -  Less than 50,04-07-2017,FSV28908
NDE1NTEx,82 WAINWRIGHT ST PROVIDENCE RI 02908,COSINA CARIBENA,Mobile Food Service,04-07-2017,FSV32017
MjQ0NzM4,84 INMAN ROAD BURRILLVILLE RI 02830,WRIGHTS FARM RESTAURANT,Seats - 50 or More,04-06-2017,FSV02805
MjU1ODk0,229A MAIN STREET HOPKINTON RI 02804,MAIN STREET PIZZA,Seats - 50 or More,04-06-2017,FSV24298
MjYwNTIz,422 WARWICK AVENUE WARWICK RI 02888,RONZIO PIZZA,Seats -  Less than 50,04-06-2017,FSV27131
MjYxODYw,4042 MAIN ROAD TIVERTON RI 02878,SAKONNET FARM LLC,Cash Registers - 1-2,04-06-2017,MRK08220
MjYzMzIy,1800 POST ROAD WARWICK RI 02886,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Seats - 50 or More,04-06-2017,FSV28924
MjY0Nzkw,585 TIOGUE AVE COVENTRY RI 02816,COVENTRY GAS,Cash Registers - 1-2,04-06-2017,MRK08376
NjExNTc2,96 JOHN STEERE RD CHEPACHET RI 02814,DEEP ROOTS FARM LLC,Retail Food Peddler,04-06-2017,MRK09003
MjQxMTQy,134 PROVIDENCE STREET WOONSOCKET RI 02895,ALS PLACE,Seats -  Less than 50,04-05-2017,FSV16827
MjQ1NzYy,860 POST ROAD WARWICK RI 028883365,DUNKIN DONUTS,Seats -  Less than 50,04-05-2017,FSV08462
MjUxMTM3,381 SMITH STREET PROVIDENCE RI 02908,PATRICK'S PUB,Seats - 50 or More,04-05-2017,FSV21823
MjUxMjQ4,2166 BROAD STREET CRANSTON RI 02905,LITTLE FALLS BAKERY & CAFE,Seats -  Less than 50,04-05-2017,FSV21441
MjU1MjQ3,370 CHILD STREET WARREN RI 02885,"CORNER STORE, THE",Cash Registers - 1-2,04-05-2017,MRK06980
MjY0ODk3,100 BULLOCKS PT AVE RIVERSIDE RI 02915,EAST BAY COMMUNITY ACTION PROGRAM,Food Service (Non-Profit),04-05-2017,FSV29782
MjY1NTkz,291 PROVIDENCE ST WEST WARWICK RI 02893,WICKED GOOD PIZZA 2,Seats -  Less than 50,04-05-2017,FSV29985
MzU4MzE3,72 CENTRAL ST NARRAGANSETT RI 02882,ST PETERS BY THE SEA EPISCOPAL CHURCH,Food Service (Non-Profit),04-05-2017,FSV30733
MzU4NTcy,2000 CHAPEL HILL BLVD  SUITE 250 CRANSTON RI 02920,GUCKENHEIMER INC,Seats - 50 or More,04-05-2017,FSV30463
NDEzMzA1,400 WARWICK AVE WARWICK RI 02888,COZY CATERERS,Caterer or Commissary,04-05-2017,FSV30808
NDE1MzE1,691 MAIN ST WARREN RI 02885,GOOD4U,Food Processor Retail - In-State,04-05-2017,FPR04735
NDE1NTQx,40 S MAIN ST WOONSOCKET RI 02895,MILLRACE KITCHEN,Caterer or Commissary,04-05-2017,FSV32000
MjQ4MDE2,125 TOWER HILL ROAD NORTH KINGSTOWN RI 02852,DAVES FRESH MARKETPLACE OF WICKFORD INC,Cash Registers - 3-5 ,04-04-2017,MRK05798
MjYzMjQ4,280 PLAINFIELD ST PROVIDENCE RI 02909,280 LLC,Cash Registers - 1-2,05-01-2018,MRK08194
MjYzNzYz,509 MAIN ST WARREN RI 02885,SUBWAY NO 29928,Seats -  Less than 50,05-01-2018,FSV29028
MjY0NTUx,426 METACOM AVE WARREN RI 02885,426 FITNESS LLC,Seats -  Less than 50,05-01-2018,FSV29839
MjY0NzYw,101 FERRY RD BRISTOL RI 02809,BLITHEWOLD INC,Food Service (Non-Profit),05-01-2018,FSV29654
MjY1NzI0,342 MANTON AVE PROVIDENCE RI 02909,GOLD STAR GAS CORP,Cash Registers - 1-2,05-01-2018,MRK08492
MjU1MjIx,10 JONES STREET CUMBERLAND RI 02864,JOES BAR,Seats -  Less than 50,04-04-2017,FSV23774
MjYwMDI0,735 PUTNAM PIKE SMITHFIELD RI 02828,GREENVILLE SKILLED NURSING AND REHABILITATION,Seats - 50 or More,04-04-2017,FSV26806
NDE0MzY2,1783 OLD LOUISQUISSET PK LINCOLN RI 02865,DUNKIN DONUTS IN SEASONS CORNER MARKET,Seats -  Less than 50,04-04-2017,FSV31459
MjYwMjc4,90 LENOX AVENUE PROVIDENCE RI 02907,JOHNNY CHIMIS PLACE,Mobile Food Service,04-03-2017,FSV26953
MjY1MTU5,99 LAMBERT LIND HWY WARWICK RI 02886,EXOTIC TANS,Seats -  Less than 50,04-03-2017,FSV29777
NDE0NjYy,446 N BROADWAY EAST PROVIDENCE RI 02914,WHIPPED ICE CREAM PARLOR,Seats -  Less than 50,04-03-2017,FSV31985
