id,mapAddress,name,License Type,Last Inspection Date,License Number
MjQzMTUw,949 DEXTER STREET CENTRAL FALLS RI 02863,ELLA RISK ELEMENTARY SCHOOL,Food Service (Non-Profit),10-25-2017,FSV18867
MjQ0NTk2,BRIARCLIFF MANOR JOHNSTON RI 02919,BRIARCLIFFE MANOR,Seats - 50 or More,10-25-2017,FSV02324
MjQ1OTM0,194 MAIN STREET WOONSOCKET RI 02895,DOMINOS PIZZA,Seats -  Less than 50,10-25-2017,FSV09509
MjQ3NjAw,82 NEWPORT AVENUE EAST PROVIDENCE RI 02916,ENTENMANN'S BAKERY,Cash Registers - 1-2,10-25-2017,MRK05371
MjQ4NTQ3,SUITE 27 SOUTH KINGSTOWN RI 02881,CVS PHARMACY NO 868,Cash Registers - 3-5 ,10-25-2017,MRK03337
MjQ4Njk4,390 METACOM AVENUE BRISTOL RI 02809,CUMBERLAND FARMS NO 1263,Cash Registers - 1-2,10-25-2017,MRK03791
MjUxMDE4,850 WAKEFIELD STREET WEST WARWICK RI 02893,ST JOSEPH SCHOOL,Food Service (Non-Profit),10-25-2017,FSV21142
MjUzMzAx,1015 SANDY LANE WARWICK RI 02886,SANDY LANE GAS AND CONVENIENCE,Cash Registers - 1-2,10-25-2017,MRK06817
MjUzNTYz,505 WAKEFIELD STREET WEST WARWICK RI 02893,WAKEFIELD HILLS ELEMENTARY SCHOOL,Food Service (Non-Profit),10-25-2017,FSV22829
MjUzNTk3,1011 CHALKSTONE AVENUE PROVIDENCE RI 02908,CHINA GARDEN CHINESE RESTAURANT,Seats -  Less than 50,10-25-2017,FSV23315
MjU0NTk5,22 BROADWAY NEWPORT RI 02840,EMPIRE TEA AND COFFEE,Seats -  Less than 50,10-25-2017,FSV23583
MjU1MjEw,162 MAIN STREET EXETER RI 02822,EXETER JOB CORPS ACADEMY,Food Service (Non-Profit),10-25-2017,FSV23769
MjU2NzI2,335 NEWPORT AVENUE EAST PROVIDENCE RI 02916,EL REY AZTECA MEXICAN RESTAURANT,Seats - 50 or More,10-25-2017,FSV24683
MjU2ODA3,8 1/2  MAIN STREET WOONSOCKET RI 02895,NEW YORK LUNCH,Seats -  Less than 50,10-25-2017,FSV24805
MjU3MzQz,483 HOPE STREET BRISTOL RI 02809,LE CENTRAL,Seats - 50 or More,10-25-2017,FSV25160
MjQ4ODA5,2687 WEST SHORE ROAD WARWICK RI 02886,DAVES FRESH MARKETPLACE OF WEST SHORE ROAD INC,Cash Registers - 3-5 ,05-14-2018,MRK04231
MjQ5NjU3,640 WARREN AVENUE EAST PROVIDENCE RI 02914,CVS PHARMACY NO 2347,Cash Registers - 3-5 ,05-14-2018,MRK06077
MjUxMTA1,1356 CRANSTON STREET CRANSTON RI 02920,BD MART,Cash Registers - 1-2,05-14-2018,MRK06294
MjUyMTIz,500 MAIN STREET EAST GREENWICH RI 02818,BACK TO BASICS,Cash Registers - 1-2,05-14-2018,MRK06524
MjUzMTI3,BUILDING C SMITHFIELD RI 02917,DUNKIN DONUTS/BASKIN ROBBINS,Seats -  Less than 50,05-14-2018,FSV24776
MjU4ODA3,325 VALLEY STREET PROVIDENCE RI 02908,PRICE RITE OF PROVIDENCE,Cash Registers - 6 or more ,10-25-2017,MRK07551
MjU4OTMy,600 WARREN AVENUE EAST PROVIDENCE RI 02914,WALGREENS NO 09374,Cash Registers - 6 or more ,10-25-2017,MRK07574
MjYwNTA1,53 OLD POCASSET ROAD JOHNSTON RI 02919,BRIARCLIFFE GARDENS LLC,Seats -  Less than 50,10-25-2017,FSV27136
MjYxMzE0,900 SALEM ST SMITHFIELD RI 02917,COMPASS GROUP USA,Caterer or Commissary,10-25-2017,FSV27662
MjYzNjA1,435 POWER ROAD PAWTUCKET RI 02860,TONYS PIZZA,Seats -  Less than 50,10-25-2017,FSV28979
MjY0MTUz,1 BROWN ST WEST WARWICK RI 02893,MAISIE QUINN ELEMENTARY SCHOOL,Food Service (Non-Profit),10-25-2017,FSV29144
MjY0MTU0,546 BUDLONG RD CRANSTON RI 02905,THE CHILDRENS WORKSHOP,Seats - 50 or More,10-25-2017,FSV29264
MjY1MDA4,1450 HARTFORD AVE JOHNSTON RI 02919,PRICE RITE OF JOHNSTON,Cash Registers - 6 or more ,10-25-2017,MRK08415
MjY1MTEx,1182 HIGH ST CUMBERLAND RI 02864,ANIS PIZZA AND SEAFOOD,Seats -  Less than 50,10-25-2017,FSV29761
MjY1ODM0,1 CONSTITUTION ST BRISTOL RI 02809,BRISTOL COUNTY LODGE NO 1860 BPO ELKS,Food Service (Non-Profit),10-25-2017,FSV30003
MzU4MjM5,49 OLD POCASSET RD JOHNSTON RI 02919,BRIARCLIFF GARDENS LLC,Seats -  Less than 50,10-25-2017,FSV30310
NDE1MjEw,86 WILLIAM ST NEWPORT RI 02840,RIB AND RHEIN,Seats -  Less than 50,10-25-2017,FSV31835
