Precinct Name,Precinct #,election,year,Total Votes,Election Day,Mail Ballots,Emergency,% - Mail,% - Turnout,turnout_rank
SCITUATE 3003,3003,general,2018,1770,1637,133,0.0,0.07514124293785311,0.591182364729459,49.0
SCITUATE 3003,3003,primary,2012,134,125,9,0.0,0.06716417910447761,0.04688593421973408,388.0
SCITUATE 3003,3003,primary,2014,681,667,14,0.0,0.020558002936857563,0.23987319478689678,148.0
SCITUATE 3003,3003,primary,2020,228,131,85,12.0,0.37280701754385964,0.07605070046697798,247.0
SMITHFIELD 3101,3101,general,2012,1570,1455,115,0.0,0.0732484076433121,0.6547122602168474,129.0
SMITHFIELD 3101,3101,general,2014,1256,1181,75,0.0,0.059713375796178345,0.5205138831330294,87.0
SMITHFIELD 3101,3101,general,2016,1727,1579,148,0.0,0.08569774174869717,0.6599159342758885,105.0
SMITHFIELD 3101,3101,general,2018,1539,1434,105,0.0,0.0682261208576998,0.5939791586260131,43.0
SMITHFIELD 3101,3101,primary,2014,584,549,35,0.0,0.059931506849315065,0.2463095740194011,127.0
SMITHFIELD 3101,3101,primary,2016,152,142,10,0.0,0.06578947368421052,0.058937572702597904,271.0
SMITHFIELD 3101,3101,primary,2020,318,162,127,29.0,0.39937106918238996,0.1456710948236372,129.0
SMITHFIELD 3102,3102,general,2012,1521,1432,89,0.0,0.05851413543721236,0.6079136690647482,219.0
SMITHFIELD 3102,3102,general,2014,1160,1103,57,0.0,0.04913793103448276,0.46068308181096107,182.0
SMITHFIELD 3102,3102,general,2016,1611,1501,110,0.0,0.06828057107386716,0.6330058939096267,170.0
SMITHFIELD 3102,3102,general,2018,1339,1270,69,0.0,0.05153099327856609,0.5498973305954825,118.0
SMITHFIELD 3102,3102,primary,2014,538,508,30,0.0,0.055762081784386616,0.21425726802070888,221.0
SMITHFIELD 3102,3102,primary,2016,133,123,10,0.0,0.07518796992481203,0.05330661322645291,292.0
SMITHFIELD 3103,3103,general,2012,1706,1618,88,0.0,0.05158264947245018,0.6669272869429241,109.0
SMITHFIELD 3103,3103,general,2014,1293,1234,59,0.0,0.04563031709203403,0.5135027799841144,101.0
SMITHFIELD 3103,3103,general,2016,1714,1601,113,0.0,0.06592765460910152,0.6820533227218464,61.0
SMITHFIELD 3103,3103,general,2018,1457,1379,78,0.0,0.053534660260809885,0.6015689512799339,33.0
SMITHFIELD 3103,3103,primary,2012,917,870,47,0.0,0.05125408942202835,0.123103772318432,188.0
SMITHFIELD 3103,3103,primary,2014,614,594,20,0.0,0.03257328990228013,0.24599358974358973,128.0
SMITHFIELD 3103,3103,primary,2016,163,154,9,0.0,0.05521472392638037,0.06564639548932742,251.0
SMITHFIELD 3103,3103,primary,2020,540,214,231,95.0,0.42777777777777776,0.1328740157480315,150.0
SMITHFIELD 3104,3104,general,2012,1892,1757,135,0.0,0.07135306553911205,0.6697345132743363,100.0
SMITHFIELD 3104,3104,general,2014,1475,1384,91,0.0,0.06169491525423729,0.5267857142857143,77.0
SMITHFIELD 3104,3104,general,2016,1928,1745,183,0.0,0.09491701244813278,0.6575716234652115,109.0
SMITHFIELD 3104,3104,general,2018,1730,1600,130,0.0,0.07514450867052024,0.6051066806575726,31.0
SMITHFIELD 3104,3104,primary,2014,668,631,37,0.0,0.05538922155688623,0.23908375089477452,150.0
SMITHFIELD 3104,3104,primary,2016,207,191,16,0.0,0.07729468599033816,0.07212543554006969,231.0
SMITHFIELD 3104,3104,primary,2020,267,132,126,9.0,0.47191011235955055,0.11400512382578992,188.0
SMITHFIELD 3105,3105,general,2012,1852,1646,206,0.0,0.11123110151187905,0.6282225237449118,186.0
SMITHFIELD 3105,3105,general,2014,1371,1258,113,0.0,0.0824215900802334,0.4661679700782047,175.0
SMITHFIELD 3105,3105,general,2016,1881,1558,323,0.0,0.1717171717171717,0.616519174041298,202.0
SMITHFIELD 3105,3105,general,2018,1545,1349,196,0.0,0.1268608414239482,0.5368311327310632,140.0
SMITHFIELD 3105,3105,primary,2012,602,577,25,0.0,0.04152823920265781,0.07133546628747482,333.0
SMITHFIELD 3105,3105,primary,2014,633,581,52,0.0,0.08214849921011058,0.21678082191780823,209.0
SMITHFIELD 3105,3105,primary,2016,176,152,24,0.0,0.13636363636363635,0.058725392058725394,272.0
SMITHFIELD 3105,3105,primary,2020,538,255,262,21.0,0.48698884758364314,0.12599531615925058,166.0
SMITHFIELD 3106,3106,general,2012,1554,1428,126,0.0,0.08108108108108109,0.5831144465290806,250.0
SMITHFIELD 3106,3106,general,2014,1223,1154,69,0.0,0.056418642681929684,0.4653729071537291,178.0
SMITHFIELD 3106,3106,general,2016,1539,1366,173,0.0,0.11241065627030539,0.5905602455871066,247.0
SMITHFIELD 3106,3106,general,2018,1382,1283,99,0.0,0.07163531114327062,0.5883354618986802,56.0
SMITHFIELD 3106,3106,primary,2014,575,545,30,0.0,0.05217391304347826,0.2208141321044547,198.0
SMITHFIELD 3106,3106,primary,2016,133,124,9,0.0,0.06766917293233082,0.05258995650454725,296.0
SOUTH KINGSTOWN 3201,3201,general,2012,599,569,30,0.0,0.05008347245409015,0.7022274325908558,43.0
SOUTH KINGSTOWN 3201,3201,general,2014,477,455,22,0.0,0.04612159329140461,0.5533642691415314,36.0
SOUTH KINGSTOWN 3201,3201,general,2016,646,580,66,0.0,0.1021671826625387,0.7083333333333334,21.0
SOUTH KINGSTOWN 3201,3201,general,2018,562,515,47,0.0,0.08362989323843416,0.6088840736728061,29.0
SOUTH KINGSTOWN 3201,3201,primary,2012,73,71,2,0.0,0.0273972602739726,0.08558030480656506,293.0
SOUTH KINGSTOWN 3201,3201,primary,2014,220,215,5,0.0,0.022727272727272728,0.25821596244131456,95.0
