City/Town,election,year,Total Votes,Election Day,Mail Ballots,Emergency,% - Mail,% - Turnout,turnout_rank
COVENTRY,primary,2016,1788,1685,103,0.0,0.05760626398210291,0.06997221461276562,21.0
COVENTRY,primary,2020,2410,1395,824,191.0,0.34190871369294606,0.09031629440863438,27.0
CRANSTON,general,2010,27752,26936,816,0.0,0.029403286249639667,0.5205484591000319,22.0
CRANSTON,general,2012,35274,33464,1810,0.0,0.051312581504791066,0.6500681876819874,19.0
CRANSTON,general,2014,27303,26130,1173,0.0,0.04296231183386441,0.4880503369501099,17.0
CRANSTON,general,2016,37207,34287,2920,0.0,0.07847985594108635,0.6416327516037801,24.0
CRANSTON,general,2018,31659,29653,2006,0.0,0.06336270886635711,0.5482552601956879,13.0
CRANSTON,primary,2010,7254,7074,180,0.0,0.02481389578163772,0.13634056949534817,26.0
CRANSTON,primary,2012,5444,5259,185,0.0,0.033982365907421014,0.1005671217187298,21.0
CRANSTON,primary,2014,13412,13010,402,0.0,0.029973158365642707,0.24160541864822022,9.0
CRANSTON,primary,2016,2862,2753,109,0.0,0.038085255066387144,0.05025372688802655,26.0
CRANSTON,primary,2020,12519,7430,4130,959.0,0.3298985541976196,0.2128502448313384,5.0
CUMBERLAND,general,2010,13162,12823,339,0.0,0.025755964139188573,0.5083227127022747,25.0
CUMBERLAND,general,2012,16851,16039,812,0.0,0.04818705121357783,0.6755532392559332,13.0
CUMBERLAND,general,2014,11871,11478,393,0.0,0.033105888299216575,0.46262665627435695,24.0
CUMBERLAND,general,2016,17430,16226,1204,0.0,0.06907630522088354,0.6506159014557671,19.0
CUMBERLAND,general,2018,14190,13432,758,0.0,0.053417899929527835,0.5322381005963768,19.0
CUMBERLAND,primary,2010,5265,5139,126,0.0,0.023931623931623933,0.20407767742935773,8.0
CUMBERLAND,primary,2012,4163,4013,150,0.0,0.0360317079029546,0.16842658898733665,6.0
CUMBERLAND,primary,2014,7574,7357,217,0.0,0.02865064695009242,0.29722941684326193,2.0
CUMBERLAND,primary,2016,2514,2425,89,0.0,0.03540175019888624,0.09582618639222412,11.0
CUMBERLAND,primary,2020,1031,525,462,44.0,0.4481086323957323,0.1083780090402607,24.0
EAST GREENWICH,general,2010,6010,5774,236,0.0,0.03926788685524126,0.5650089310895929,7.0
EAST GREENWICH,general,2012,7332,6705,627,0.0,0.08551554828150573,0.6831268051802851,8.0
EAST GREENWICH,general,2014,5651,5331,320,0.0,0.05662714563794019,0.513167453686887,8.0
EAST GREENWICH,general,2016,7791,6919,872,0.0,0.11192401488897445,0.6751884912037438,7.0
EAST GREENWICH,general,2018,6742,6107,635,0.0,0.09418570157223376,0.581307121917572,4.0
EAST GREENWICH,primary,2010,1521,1483,38,0.0,0.024983563445101907,0.14391143911439114,23.0
EAST GREENWICH,primary,2012,1282,1257,25,0.0,0.01950078003120125,0.11988030671404526,16.0
EAST GREENWICH,primary,2014,2581,2499,82,0.0,0.0317706315381635,0.2366153281994866,12.0
EAST GREENWICH,primary,2016,435,420,15,0.0,0.034482758620689655,0.03862546616941929,30.0
EAST GREENWICH,primary,2020,1098,478,527,93.0,0.47996357012750457,0.09520506373016561,26.0
EAST PROVIDENCE,general,2010,16012,15354,658,0.0,0.041094179365475894,0.5141279219111226,24.0
EAST PROVIDENCE,general,2012,20451,19255,1196,0.0,0.058481247860740306,0.6289712440412117,28.0
EAST PROVIDENCE,general,2014,13899,13137,762,0.0,0.05482408806388949,0.41841772532964056,33.0
EAST PROVIDENCE,general,2016,20665,18957,1708,0.0,0.0826518267602226,0.5960656494274423,34.0
EAST PROVIDENCE,general,2018,17288,15985,1303,0.0,0.0753701989819528,0.5272982370524004,23.0
EAST PROVIDENCE,primary,2010,6470,6237,233,0.0,0.03601236476043276,0.2085280562091082,7.0
EAST PROVIDENCE,primary,2012,6994,6695,299,0.0,0.04275092936802974,0.21585753526125737,2.0
EAST PROVIDENCE,primary,2014,7482,7093,389,0.0,0.05199144613739642,0.22688540497922793,17.0
EAST PROVIDENCE,primary,2016,2826,2640,186,0.0,0.06581740976645435,0.08315922667215961,16.0
EAST PROVIDENCE,primary,2020,3118,1402,1396,320.0,0.4477228992944195,0.15092695677428725,13.0
EXETER,general,2010,2600,2521,79,0.0,0.030384615384615385,0.5571030640668524,9.0
EXETER,general,2012,3404,3262,142,0.0,0.04171562867215041,0.6975409836065574,4.0
EXETER,general,2014,2745,2638,107,0.0,0.03897996357012751,0.5335276967930029,5.0
EXETER,general,2016,3625,3360,265,0.0,0.07310344827586207,0.6752980625931445,6.0
EXETER,general,2018,3008,2841,167,0.0,0.0555186170212766,0.5638238050609184,11.0
EXETER,primary,2010,521,518,3,0.0,0.005758157389635317,0.11175461175461175,30.0
EXETER,primary,2012,354,348,6,0.0,0.01694915254237288,0.07239263803680981,27.0
EXETER,primary,2014,1135,1108,27,0.0,0.02378854625550661,0.2222439788525553,18.0
EXETER,primary,2016,160,156,4,0.0,0.025,0.030366293414310117,33.0
EXETER,primary,2020,468,157,201,110.0,0.42948717948717946,0.08625138223368964,28.0
FOSTER,general,2010,2089,2016,73,0.0,0.034944949736716135,0.5765939828871102,5.0
FOSTER,general,2012,2463,2337,126,0.0,0.05115712545676005,0.6484992101105845,20.0
FOSTER,general,2014,1937,1863,74,0.0,0.03820340733092411,0.48889449772842,16.0
FOSTER,general,2016,2556,2406,150,0.0,0.05868544600938967,0.6141278231619414,31.0
FOSTER,general,2018,2156,2060,96,0.0,0.04452690166975881,0.5299901671583087,21.0
FOSTER,primary,2010,413,412,1,0.0,0.002421307506053269,0.11383682469680265,29.0
FOSTER,primary,2012,729,670,59,0.0,0.08093278463648834,0.19244984160506864,4.0
FOSTER,primary,2014,679,666,13,0.0,0.01914580265095729,0.1724225495175216,31.0
FOSTER,primary,2016,119,116,3,0.0,0.025210084033613446,0.029130966952264383,34.0
FOSTER,primary,2020,311,156,137,18.0,0.4405144694533762,0.07658212262989411,30.0
GLOCESTER,general,2010,4207,4092,115,0.0,0.027335393391965772,0.5273251441464026,18.0
GLOCESTER,general,2012,5083,4867,216,0.0,0.042494589809167815,0.6395319577252139,25.0
GLOCESTER,general,2014,3585,3433,152,0.0,0.042398884239888426,0.4427565765098185,28.0
GLOCESTER,general,2016,5311,5004,307,0.0,0.05780455658068161,0.6327138432213486,28.0
GLOCESTER,general,2018,4374,4140,234,0.0,0.053497942386831275,0.5302460904352043,20.0
GLOCESTER,primary,2010,728,722,6,0.0,0.008241758241758242,0.09182643794147326,37.0
GLOCESTER,primary,2012,438,424,14,0.0,0.0319634703196347,0.055018213792237154,35.0
GLOCESTER,primary,2014,1317,1290,27,0.0,0.02050113895216401,0.1637448713166729,34.0
GLOCESTER,primary,2016,196,192,4,0.0,0.02040816326530612,0.023746062515144172,37.0
GLOCESTER,primary,2020,619,281,246,92.0,0.3974151857835218,0.07310735797803236,33.0
HOPKINTON,general,2010,2892,2815,77,0.0,0.026625172890733056,0.4648770294164925,35.0
HOPKINTON,general,2012,3910,3699,211,0.0,0.05396419437340153,0.6796454023987485,10.0
HOPKINTON,general,2014,2735,2632,103,0.0,0.0376599634369287,0.45797052913596786,25.0
HOPKINTON,general,2016,4263,3877,386,0.0,0.0905465634529674,0.6675540244284373,11.0
HOPKINTON,general,2018,3454,3292,162,0.0,0.046902142443543716,0.5282153234439517,22.0
HOPKINTON,primary,2010,374,367,7,0.0,0.01871657754010695,0.06027397260273973,38.0
HOPKINTON,primary,2012,318,311,7,0.0,0.0220125786163522,0.054452054794520546,36.0
HOPKINTON,primary,2014,926,900,26,0.0,0.028077753779697623,0.15599730458221026,37.0
HOPKINTON,primary,2016,154,150,4,0.0,0.025974025974025976,0.024762823605081204,36.0
HOPKINTON,primary,2020,693,350,288,55.0,0.4155844155844156,0.10224254942460903,25.0
JAMESTOWN,general,2010,2997,2852,145,0.0,0.048381715048381714,0.6360356536502547,1.0
JAMESTOWN,general,2012,3624,3277,347,0.0,0.0957505518763797,0.7561026496974755,1.0
JAMESTOWN,general,2014,2907,2705,202,0.0,0.0694874441004472,0.5894160583941606,1.0
JAMESTOWN,general,2016,3602,3160,442,0.0,0.12270960577456969,0.7269424823410696,1.0
JAMESTOWN,general,2018,3293,2972,321,0.0,0.097479501973884,0.6544117647058824,1.0
JAMESTOWN,primary,2010,894,860,34,0.0,0.03803131991051454,0.19045590115040478,10.0
JAMESTOWN,primary,2012,1137,1080,57,0.0,0.05013192612137203,0.23796567601506907,1.0
JAMESTOWN,primary,2014,1352,1290,62,0.0,0.04585798816568047,0.27530034616167787,3.0
JAMESTOWN,primary,2016,251,241,10,0.0,0.0398406374501992,0.05149774312679524,25.0
JAMESTOWN,primary,2020,1240,313,779,148.0,0.6282258064516129,0.2912849424477331,1.0
JOHNSTON,general,2010,11419,11037,382,0.0,0.033453016901655135,0.521296507646656,21.0
JOHNSTON,general,2012,13336,12690,646,0.0,0.04844031193761248,0.5939518104484924,33.0
JOHNSTON,general,2014,10126,9682,444,0.0,0.04384752123247087,0.4445712780436405,27.0
JOHNSTON,general,2016,13958,13122,836,0.0,0.059893967617137125,0.5950716234652115,35.0
JOHNSTON,general,2018,10905,10370,535,0.0,0.049060064190738197,0.47889859909534055,33.0
JOHNSTON,primary,2010,6573,6277,296,0.0,0.04503270956945078,0.3020957808622116,1.0
JOHNSTON,primary,2012,3317,3155,162,0.0,0.048839312631896295,0.14790208231149954,10.0
JOHNSTON,primary,2014,6132,5881,251,0.0,0.040932811480756684,0.2711354793066855,4.0
JOHNSTON,primary,2016,2359,2233,126,0.0,0.05341246290801187,0.10255629945222154,9.0
JOHNSTON,primary,2020,3039,1658,1123,258.0,0.36952945047713065,0.13011088752836408,18.0
LINCOLN,general,2010,8744,8510,234,0.0,0.0267612076852699,0.5079291315713041,26.0
LINCOLN,general,2012,11141,10590,551,0.0,0.04945696077551387,0.6632732035482527,15.0
LINCOLN,general,2014,8323,8012,311,0.0,0.03736633425447555,0.47910430577941515,20.0
LINCOLN,general,2016,11562,10645,917,0.0,0.07931153779622903,0.6422619708921231,23.0
LINCOLN,general,2018,9276,8791,485,0.0,0.052285467874083655,0.5143617611178884,27.0
