result.event,result.eventCode,result.eventTypeId,result.description,about.eventIdx,about.eventId,about.period,about.periodType,about.ordinalNum,about.periodTime,about.periodTimeRemaining,about.dateTime,about.goals.away,about.goals.home,data.timeout_id,game_id,game_type,home_team,away_team,away_final_score,home_final_score,timeout_team,timeout_against,score_diff,end_score_diff,before_timeout,end_result,game_seconds
Stoppage,COL731,STOP,Visitor Timeout,328,731,4,OVERTIME,OT,00:51,04:09,2021-03-07T03:41:35Z,4,4,1,2020020386,R,Colorado Avalanche,Anaheim Ducks,5,4,Anaheim Ducks,Colorado Avalanche,0.0,1.0,tied,winning,3651
Stoppage,WSH766,STOP,Visitor Timeout,308,766,3,REGULAR,3rd,19:48,00:12,2021-02-21T21:56:58Z,3,4,1,2020020392,R,Washington Capitals,New Jersey Devils,3,4,New Jersey Devils,Washington Capitals,-1.0,-1.0,losing,losing,3588
Stoppage,PIT207,STOP,Visitor Timeout,85,207,1,REGULAR,1st,17:14,02:46,2021-03-08T01:12:56Z,1,3,1,2020020393,R,Pittsburgh Penguins,New York Rangers,1,5,New York Rangers,Pittsburgh Penguins,-2.0,-4.0,losing,losing,1034
Stoppage,CGY567,STOP,Visitor Timeout,300,567,4,OVERTIME,OT,03:47,01:13,2021-03-08T05:12:27Z,3,3,1,2020020395,R,Calgary Flames,Ottawa Senators,3,3,Ottawa Senators,Calgary Flames,0.0,0.0,tied,tied,3827
Stoppage,WSH543,STOP,Home Timeout,269,543,3,REGULAR,3rd,10:17,09:43,2021-03-10T02:17:27Z,2,4,1,2020020403,R,Washington Capitals,New Jersey Devils,4,5,Washington Capitals,New Jersey Devils,2.0,1.0,winning,winning,3017
Stoppage,TOR421,STOP,Home Timeout,266,421,3,REGULAR,3rd,18:06,01:54,2021-03-10T02:18:51Z,4,2,1,2020020408,R,Toronto Maple Leafs,Winnipeg Jets,4,3,Toronto Maple Leafs,Winnipeg Jets,-2.0,-1.0,losing,losing,3486
Stoppage,BOS221,STOP,Visitor Timeout,131,221,2,REGULAR,2nd,04:52,15:08,2021-03-12T01:08:55Z,0,3,1,2020020415,R,Boston Bruins,New York Rangers,0,4,New York Rangers,Boston Bruins,-3.0,-4.0,losing,losing,1492
Stoppage,NYI472,STOP,Home Timeout,206,472,3,REGULAR,3rd,04:03,15:57,2021-03-12T02:02:14Z,1,4,1,2020020417,R,New York Islanders,New Jersey Devils,3,5,New York Islanders,New Jersey Devils,3.0,2.0,winning,winning,2643
Stoppage,DET371,STOP,Visitor Timeout,110,371,2,REGULAR,2nd,04:50,15:10,2021-03-12T01:42:48Z,2,4,1,2020020421,R,Detroit Red Wings,Tampa Bay Lightning,4,6,Tampa Bay Lightning,Detroit Red Wings,-2.0,-2.0,losing,losing,1490
Stoppage,DAL234,STOP,Home Timeout,220,234,2,REGULAR,2nd,18:35,01:25,2021-03-12T03:11:47Z,4,0,1,2020020424,R,Dallas Stars,Chicago Blackhawks,4,2,Dallas Stars,Chicago Blackhawks,-4.0,-2.0,losing,losing,2315
Stoppage,STL772,STOP,Visitor Timeout,313,772,4,OVERTIME,OT,00:58,04:02,2021-03-13T03:40:35Z,4,4,1,2020020425,R,St. Louis Blues,Vegas Golden Knights,5,4,Vegas Golden Knights,St. Louis Blues,0.0,1.0,tied,winning,3658
Stoppage,COL596,STOP,Visitor Timeout,284,596,3,REGULAR,3rd,18:25,01:35,2021-03-13T04:33:20Z,0,1,1,2020020428,R,Colorado Avalanche,Los Angeles Kings,0,2,Los Angeles Kings,Colorado Avalanche,-1.0,-2.0,losing,losing,3505
Stoppage,FLA574,STOP,Visitor Timeout,286,574,3,REGULAR,3rd,18:28,01:32,2021-03-14T01:41:21Z,1,4,1,2020020435,R,Florida Panthers,Chicago Blackhawks,2,4,Chicago Blackhawks,Florida Panthers,-3.0,-2.0,losing,losing,3508
Stoppage,CGY592,STOP,Visitor Timeout,301,592,3,REGULAR,3rd,17:20,02:40,2021-03-14T02:31:48Z,1,3,1,2020020439,R,Calgary Flames,Montréal Canadiens,1,3,Montréal Canadiens,Calgary Flames,-2.0,-2.0,losing,losing,3440
Stoppage,VAN753,STOP,Visitor Timeout,303,753,3,REGULAR,3rd,18:14,01:46,2021-03-14T04:33:22Z,1,2,1,2020020440,R,Vancouver Canucks,Edmonton Oilers,1,2,Edmonton Oilers,Vancouver Canucks,-1.0,-1.0,losing,losing,3494
Stoppage,ANA663,STOP,Home Timeout,320,663,3,REGULAR,3rd,18:23,01:37,2021-03-14T04:28:19Z,3,1,1,2020020441,R,Anaheim Ducks,San Jose Sharks,3,1,Anaheim Ducks,San Jose Sharks,-2.0,-2.0,losing,losing,3503
Stoppage,VGK691,STOP,Visitor Timeout,327,691,3,REGULAR,3rd,19:34,00:26,2021-03-16T04:32:12Z,1,2,1,2020020455,R,Vegas Golden Knights,San Jose Sharks,1,2,San Jose Sharks,Vegas Golden Knights,-1.0,-1.0,losing,losing,3574
Stoppage,LAK105,STOP,Visitor Timeout,23,105,1,REGULAR,1st,04:19,15:41,2021-03-18T02:16:47Z,0,2,1,2020020467,R,Los Angeles Kings,St. Louis Blues,1,4,St. Louis Blues,Los Angeles Kings,-2.0,-3.0,losing,losing,259
Stoppage,NYI701,STOP,Home Timeout,277,701,3,REGULAR,3rd,18:26,01:34,2021-03-19T01:31:10Z,4,3,1,2020020469,R,New York Islanders,Philadelphia Flyers,4,3,New York Islanders,Philadelphia Flyers,-1.0,-1.0,losing,losing,3506
Stoppage,DET633,STOP,Visitor Timeout,251,633,3,REGULAR,3rd,18:40,01:20,2021-03-19T01:59:24Z,1,3,1,2020020473,R,Detroit Red Wings,Dallas Stars,2,3,Dallas Stars,Detroit Red Wings,-2.0,-1.0,losing,losing,3520
Stoppage,MTL666,STOP,Home Timeout,297,666,3,REGULAR,3rd,18:37,01:23,2021-03-20T01:29:43Z,2,1,1,2020020479,R,Montréal Canadiens,Vancouver Canucks,3,2,Montréal Canadiens,Vancouver Canucks,-1.0,-1.0,losing,losing,3517
Stoppage,SJS764,STOP,Home Timeout,349,764,4,OVERTIME,OT,02:26,02:34,2021-03-20T03:40:14Z,1,1,1,2020020482,R,San Jose Sharks,St. Louis Blues,1,1,San Jose Sharks,St. Louis Blues,0.0,0.0,tied,tied,3746
Stoppage,BUF690,STOP,Home Timeout,275,690,3,REGULAR,3rd,16:59,03:01,2021-04-21T00:58:35Z,2,0,1,2020020483,R,Buffalo Sabres,Boston Bruins,2,0,Buffalo Sabres,Boston Bruins,-2.0,-2.0,losing,losing,3419
Stoppage,NYI29,STOP,Visitor Timeout,46,29,1,REGULAR,1st,10:03,09:57,2021-03-20T23:22:10Z,0,2,1,2020020484,R,New York Islanders,Philadelphia Flyers,1,6,Philadelphia Flyers,New York Islanders,-2.0,-5.0,losing,losing,603
Stoppage,ARI730,STOP,Visitor Timeout,291,730,4,OVERTIME,OT,02:11,02:49,2021-03-24T04:38:56Z,4,4,1,2020020508,R,Arizona Coyotes,Colorado Avalanche,4,4,Colorado Avalanche,Arizona Coyotes,0.0,0.0,tied,tied,3731
Stoppage,MIN752,STOP,Visitor Timeout,263,752,3,REGULAR,3rd,17:53,02:07,2021-03-25T00:02:51Z,2,3,1,2020020513,R,Minnesota Wild,Anaheim Ducks,2,3,Anaheim Ducks,Minnesota Wild,-1.0,-1.0,losing,losing,3473
