id,activePlayer,blockedShots,faceoffWinPctg,faceoffsLost,faceoffsTaken,faceoffsWon,firstName,firstSeasonForGameType,franchiseId,gameTypeId,gamesPlayed,giveaways,hits,lastName,lastSeasonForGameType,missedShots,playerId,positionCode,seasonsPlayed,shifts,takeaways,teamAbbrevs,timeOnIce
4912,False,38,49.7801,571,1137,566,Kris,20002001,,2,99,44,95,Beech,20072008,31,8467880,C,7,1718,35,"NSH,WSH,CBJ,VAN,PIT",72334
7433,False,157,49.1645,578,1137,559,Carter,20162017,,2,249,71,586,Rowney,20212022,77,8477240,C,6,4285,74,"PIT,ANA,DET",176682
17216,True,73,45.0655,629,1145,516,Joe,20202021,,2,152,29,282,Veleno,20222023,46,8480813,C,3,2522,50,DET,118951
7332,False,104,46.5157,614,1148,534,Mikhail,20122013,,2,249,72,100,Grigorenko,20202021,102,8476888,C,6,4303,82,"BUF,COL,CBJ",199163
5820,False,98,48.4348,593,1150,557,Dustin,20062007,,2,220,64,183,Boyd,20102011,90,8471310,C,5,3757,82,"CGY,NSH,MTL",154151
4329,False,76,48.1771,597,1152,555,Kevyn,19971998,,2,177,43,94,Adams,20072008,101,8459446,C,10,2973,62,"CAR,PHX,CHI",125654
6501,False,119,48.5837,599,1165,566,Joe,20102011,,2,295,130,526,Colborne,20162017,111,8474577,C,7,5810,99,"TOR,CGY,COL",245989
4400,False,251,46.4837,624,1166,542,Ryan,19941995,,2,628,472,355,Smyth,20132014,576,8460496,L,19,14920,369,"EDM,NYI,COL,LAK",709435
7374,True,177,43.5304,659,1167,508,Andreas,20152016,,2,459,208,205,Athanasiou,20222023,430,8476960,C,8,8935,198,"DET,EDM,LAK,CHI",412178
6032,False,393,46.4164,628,1172,544,Tom,20092010,,2,445,84,255,Pyatt,20182019,168,8471768,L,8,8415,126,"MTL,TBL,OTT",356007
4129,False,46,54.1347,538,1173,635,Travis,19921993,,2,113,16,133,Green,20062007,59,8456430,C,14,2293,38,"BOS,ANA,TOR",90669
5731,False,211,46.7178,625,1173,548,Dustin,20052006,,2,589,373,673,Penner,20132014,523,8471208,L,9,12115,272,"ANA,EDM,LAK,WSH",556745
5627,False,91,45.8723,636,1175,539,Ryan,20052006,,2,126,58,76,Potulny,20102011,68,8470680,C,6,2241,55,"PHI,EDM,CHI,OTT",98852
7735,True,252,49.1124,602,1183,581,Mikko,20152016,,2,490,224,309,Rantanen,20222023,521,8478420,R,8,11203,309,COL,584468
8149,True,117,35.2743,767,1185,418,Kirby,20192020,,2,210,68,142,Dach,20222023,134,8481523,C,4,4143,125,"CHI,MTL",214988
8105,True,50,46.543,634,1186,552,Cody,20192020,,2,146,48,100,Glass,20222023,82,8479996,C,4,2537,65,"VGK,NSH",124088
6102,False,87,48.8665,609,1191,582,Rod,20062007,,2,256,32,373,Pelley,20112012,89,8472355,C,5,3550,49,"NJD,ANA",144701
4066,False,69,49.8745,599,1195,596,Trevor,19881989,,2,221,48,158,Linden,20072008,85,8448825,C,19,3664,54,VAN,155011
4085,False,59,49.1639,608,1196,588,Mike,19901991,,2,85,22,44,Ricci,20062007,37,8450817,C,16,1714,19,PHX,64043
7680,True,103,46.5719,639,1196,557,Michael,20172018,,2,296,76,161,Amadio,20222023,112,8478020,R,6,4610,126,"LAK,OTT,VGK,TOR",208903
6770,True,246,40.6977,714,1204,490,Craig,20112012,,2,853,384,797,Smith,20222023,802,8475225,C,12,16610,417,"NSH,BOS,WSH",744382
17207,True,50,47.9236,627,1204,577,Ryan,20202021,,2,138,88,71,McLeod,20222023,64,8480802,C,3,2566,63,EDM,110546
4704,False,105,47.9702,628,1207,579,Adam,19992000,,2,403,93,525,Mair,20102011,135,8466216,C,11,5155,73,"BUF,NJD",215949
17069,True,60,40.8904,717,1213,496,Trevor,20202021,,2,180,158,109,Zegras,20222023,165,8481533,C,3,3789,77,ANA,194254
6489,False,241,46.5135,652,1219,567,Colin,20092010,,2,632,240,425,Wilson,20192020,345,8474569,C,11,12230,214,"NSH,COL",558933
6152,False,188,51.1876,596,1221,625,Ryan,20092010,,2,313,71,819,White,20162017,108,8473466,C,8,4915,67,"MTL,PHI,ARI,MIN",208001
4074,False,29,51.4239,597,1229,632,Petr,19901991,,2,93,79,51,Nedved,20062007,73,8449807,C,15,1942,27,"PHX,PHI,EDM",88923
4673,False,241,48.7884,634,1238,604,Daniel,19971998,,2,609,202,770,Cleary,20142015,410,8466149,R,17,13046,192,DET,561313
7123,True,265,42.4437,716,1244,528,Blake,20162017,,2,464,188,1062,Coleman,20222023,347,8476399,C,7,9533,273,"NJD,TBL,CGY",429645
6971,False,91,51.5974,606,1252,646,Michael,20132014,,2,182,33,265,Chaput,20202021,54,8475808,C,8,2842,33,"CBJ,VAN,MTL,ARI",113923
6891,True,99,49.0822,638,1253,615,Greg,20132014,,2,233,50,248,McKegg,20212022,52,8475735,C,9,3399,57,"TOR,FLA,TBL,PIT,CAR,NYR,BOS",139292
5891,False,530,42.9027,716,1254,538,Daniel,20072008,,2,798,183,762,Winnik,20172018,410,8471476,L,11,16151,372,"PHX,COL,SJS,ANA,TOR,PIT,WSH,MIN",708988
6872,False,126,50.1184,632,1267,635,Oscar,20142015,,2,252,76,405,Lindberg,20182019,138,8475715,L,5,4139,71,"NYR,VGK,OTT",178091
4970,False,246,39.0723,775,1272,497,Ryan,20032004,,2,566,216,1091,Malone,20142015,372,8467988,L,11,12486,264,"PIT,TBL,NYR",577074
4262,False,99,47.5705,669,1276,607,Sergei,19941995,,2,246,87,193,Brylin,20072008,117,8458978,L,13,5180,93,NJD,231374
7944,False,83,47.619,682,1302,620,Juho,20182019,,2,159,33,188,Lammikko,20212022,54,8477996,L,3,2763,36,"FLA,VAN",110083
7270,False,183,49.8081,654,1303,649,Brian,20122013,,2,275,61,148,Flynn,20162017,98,8476808,C,5,5451,82,"BUF,MTL",223959
6045,False,41,46.5753,702,1314,612,Cal,20082009,,2,145,41,17,O'Reilly,20172018,35,8471811,C,7,2455,70,"NSH,PHX,PIT,BUF,MIN",116626
4196,False,163,44.9165,726,1318,592,Brian,19941995,,2,520,221,423,Rolston,20112012,618,8458525,R,17,12830,198,"MIN,NJD,BOS,NYI",565119
7563,False,84,52.0486,632,1318,686,Frederik,20152016,,2,178,37,220,Gauthier,20212022,37,8477512,C,7,2530,28,"TOR,ARI,NJD",98378
4654,False,59,53.2526,618,1322,704,Randy,19961997,,2,213,96,58,Robitaille,20072008,113,8466110,C,11,3951,68,"MIN,PHI,NYI,OTT",180700
4915,False,64,52.8658,625,1326,701,Jamie,20022003,,2,184,77,95,Lundmark,20092010,104,8467882,C,6,3240,63,"PHX,CGY,NYR,LAK,TOR",140058
17526,True,88,45.4408,724,1327,603,Anton,20212022,,2,138,76,55,Lundell,20222023,90,8482113,C,2,2975,96,FLA,133078
4751,False,86,52.2064,639,1337,698,Eric,20032004,,2,241,85,163,Perrin,20082009,155,8466399,C,4,5030,163,"TBL,ATL",236676
4775,False,53,47.58,704,1343,639,Mark,20002001,,2,193,66,232,Bell,20112012,143,8467335,C,8,3591,66,"CHI,SJS,TOR,ANA",164245
4422,False,58,53.0928,637,1358,721,Dave,19971998,,2,133,42,203,Scatchard,20102011,82,8460533,C,11,2702,40,"PHX,BOS,NSH,STL",107669
6698,True,343,45.1051,757,1379,622,Evander,20092010,,2,853,457,1966,Kane,20222023,1029,8475169,L,14,19300,451,"ATL,WPG,BUF,SJS,EDM",966135
5357,False,123,47.2701,734,1392,658,Matt,20062007,,2,356,44,180,Ellis,20142015,142,8470018,L,9,4701,105,"DET,LAK,BUF",187612
7351,True,188,46.5517,744,1392,648,Jujhar,20152016,,2,336,133,783,Khaira,20222023,144,8476915,L,8,5776,102,"EDM,CHI",254269
6942,True,194,48.8571,716,1400,684,Chris,20142015,,2,360,94,1013,Wagner,20222023,181,8475780,R,9,6034,75,"ANA,COL,NYI,BOS",257268
5235,False,545,46.1593,757,1406,649,Jason,20032004,,2,1059,359,478,Pominville,20182019,901,8469506,R,15,23239,457,"BUF,MIN",1104457
4172,False,55,53.2909,660,1413,753,Tim,19931994,,2,153,23,85,Taylor,20062007,41,8458192,C,13,2499,36,TBL,94978
5187,False,238,41.472,827,1413,586,Tuomo,20032004,,2,653,242,1709,Ruutu,20152016,459,8469462,L,12,13548,256,"CHI,CAR,NJD",609306
5752,False,89,50.3887,702,1415,713,Petteri,20052006,,2,245,41,238,Nokelainen,20112012,62,8471229,C,5,3477,42,"NYI,BOS,ANA,PHX,MTL",148036
5316,False,39,49.8949,715,1427,712,Petr,20022003,,2,148,86,106,Cajanek,20062007,133,8469696,C,4,3478,57,STL,155505
4076,False,22,58.5604,593,1431,838,Joe,19861987,,2,80,56,14,Nieuwendyk,20062007,68,8449893,C,20,1729,20,FLA,75927
6428,False,67,50.1397,714,1432,718,Joakim,20112012,,2,205,56,89,Andersson,20152016,60,8474168,C,5,3575,31,DET,146623
8216,True,66,51.1142,702,1436,734,Morgan,20192020,,2,180,47,137,Geekie,20222023,91,8479987,C,4,2754,60,"CAR,SEA",121062
7574,False,103,47.8079,750,1437,687,Josh,20142015,,2,213,51,221,Jooris,20172018,93,8477591,R,4,4049,75,"CGY,ARI,NYR,CAR,PIT",158622
5988,False,71,48.7671,748,1460,712,Marc-Andre,20092010,,2,151,20,53,Cliche,20142015,28,8471718,C,3,2415,65,"LAK,COL",95706
7350,True,277,47.0348,777,1467,690,Devin,20152016,,2,422,103,449,Shore,20222023,199,8476913,C,8,7753,142,"DAL,ANA,CBJ,EDM",322400
6043,False,134,44.1797,820,1469,649,Tom,20082009,,2,229,81,182,Wandell,20122013,130,8471807,C,5,3672,120,DAL,155063
17522,True,79,45.4237,805,1475,670,Cole,20212022,,2,143,39,203,Sillinger,20222023,97,8482705,C,2,2635,41,CBJ,116048
4500,False,60,51.6543,716,1481,765,Marc,20002001,,2,116,26,74,Chouinard,20062007,69,8462061,C,6,2504,43,"MIN,VAN",96992
6461,False,98,54.7779,672,1486,814,Jesse,20072008,,2,285,53,424,Winchester,20132014,133,8474498,C,6,4431,88,"OTT,FLA",187362
5818,False,251,48.9022,768,1503,735,Johan,20052006,,2,602,242,783,Franzen,20152016,607,8471309,R,11,13381,264,DET,604672
7502,False,137,43.9394,851,1518,667,Jacob,20142015,,2,242,55,474,de la Rose,20202021,77,8477455,L,7,4080,72,"MTL,DET,STL",170021
4358,False,65,51.774,734,1522,788,Shawn,19971998,,2,116,44,128,Bates,20072008,63,8459527,C,10,2497,58,NYI,105014
8167,True,86,46.7668,815,1531,716,Morgan,20192020,,2,158,55,133,Frost,20222023,93,8480028,C,4,3258,74,PHI,143019
4090,False,77,49.1941,788,1551,763,Jeremy,19881989,,2,239,175,298,Roenick,20082009,124,8450978,C,20,4622,91,"LAK,PHX,SJS",205036
7118,True,247,44.8454,856,1552,696,Nick,20142015,,2,523,152,636,Cousins,20222023,219,8476393,C,9,8799,168,"PHI,ARI,VGK,MTL,NSH,FLA",390335
6945,True,224,44.5583,866,1562,696,Jeff,20102011,,2,932,534,423,Skinner,20222023,1034,8475784,L,13,19967,697,"CAR,BUF",954368
4123,False,60,52.3018,746,1564,818,Jim,19911992,,2,217,39,89,Dowd,20072008,42,8456100,C,16,3377,50,"COL,CHI,NJD,PHI",128610
7918,True,169,48.6418,813,1583,770,Michael,20182019,,2,238,62,417,Rasmussen,20222023,121,8479992,C,4,4541,66,DET,200855
7248,True,134,42.8752,906,1586,680,Jonathan,20122013,,2,556,320,648,Marchessault,20222023,553,8476539,R,10,11063,330,"CBJ,TBL,FLA,VGK",565825
7024,False,55,50.9091,783,1595,812,Mark,20122013,,2,139,61,211,Arcobello,20152016,99,8476062,R,4,2925,66,"EDM,ARI,NSH,PIT,TOR",121796
5814,False,80,44.4931,887,1598,711,Peter,20082009,,2,243,52,171,Regin,20142015,128,8471299,C,7,4032,133,"OTT,CHI,NYI",180130
