defensiveZoneFaceoffLosses,defensiveZoneFaceoffWins,defensiveZoneFaceoffs,evFaceoffs,evFaceoffsLost,evFaceoffsWon,faceoffWinPct,gameDate,gameId,gamesPlayed,homeRoad,lastName,neutralZoneFaceoffLosses,neutralZoneFaceoffWins,neutralZoneFaceoffs,offensiveZoneFaceoffLosses,offensiveZoneFaceoffWins,offensiveZoneFaceoffs,opponentTeamAbbrev,playerId,positionCode,ppFaceoffs,ppFaceoffsLost,ppFaceoffsWon,shFaceoffs,shFaceoffsLost,shFaceoffsWon,skaterFullName,teamAbbrev,totalFaceoffLosses,totalFaceoffWins,totalFaceoffs,game_type
,,,7,3,4,0.7,2004-02-10,2003020827,1,R,Bergeron,,,,,,,PIT,8470638,C,1,0,1,2,0,2,Patrice Bergeron,BOS,3,7,10,2
,,,10,2,8,0.63157,2004-01-19,2003020691,1,H,Bergeron,,,,,,,NYR,8470638,C,6,3,3,3,2,1,Patrice Bergeron,BOS,7,12,19,2
,,,17,10,7,0.47619,2004-01-17,2003020678,1,R,Bergeron,,,,,,,OTT,8470638,C,2,1,1,2,0,2,Patrice Bergeron,BOS,11,10,21,2
,,,7,2,5,0.6,2003-11-22,2003020287,1,R,Bergeron,,,,,,,PHI,8470638,C,3,2,1,0,0,0,Patrice Bergeron,BOS,4,6,10,2
,,,13,7,6,0.42857,2003-11-20,2003020272,1,H,Bergeron,,,,,,,WSH,8470638,C,1,1,0,0,0,0,Patrice Bergeron,BOS,8,6,14,2
,,,21,10,11,0.56,2004-01-24,2003020729,1,H,Bergeron,,,,,,,FLA,8470638,C,3,0,3,1,1,0,Patrice Bergeron,BOS,11,14,25,2
,,,2,1,1,0.75,2003-11-06,2003020183,1,H,Bergeron,,,,,,,SJS,8470638,C,2,0,2,0,0,0,Patrice Bergeron,BOS,1,3,4,2
,,,13,5,8,0.61538,2003-11-08,2003020194,1,H,Bergeron,,,,,,,DAL,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,5,8,13,2
,,,3,3,0,0.0,2003-12-06,2003020384,1,H,Bergeron,,,,,,,PHI,8470638,C,0,0,0,1,1,0,Patrice Bergeron,BOS,4,0,4,2
,,,10,8,2,0.25,2003-11-30,2003020349,1,H,Bergeron,,,,,,,PHX,8470638,C,2,1,1,0,0,0,Patrice Bergeron,BOS,9,3,12,2
